"COD","DENUMIRE","LOCALITATE","JUDET"
"1001","CRUCEA GRANARILOR CALUGARENI","CALUGARENI","GIURGIU"
"1002","STATUIA LUI MIHAI VITEAZU","CALUGARENI","GIURGIU"
"1003","BISERICA SF VOIEVOZI","CALUGARENI","GIURGIU"
"1004","MONUMENT MIHAI VITEAZU","CALUGARENI","GIURGIU"
"1005","Biserica Sf. Petru si Pavel Sat Cetatea","CETATEA","GIURGIU"
"1006","PARCUL NATURAL COMANA","COMANA","GIURGIU"
"1007","MANASTIREA DELTA NEAJLOVULUI","COMANA","GIURGIU"
"1008","LACUL COMANA","COMANA","GIURGIU"
"1009","PARC AVENTURA COMANA","COMANA","GIURGIU"
"1010","CASA MEMORIALA GELLU NAUM COMANA","COMANA","GIURGIU"
"1011","MONUMENTUL EROILOR COMANA","COMANA","GIURGIU"
"1012","MANASTIREA COMANA","COMANA","GIURGIU"
"1013","MAUSOLEUL COMANA","COMANA","GIURGIU"
"1014","AERODROM COMANA","COMANA","GIURGIU"
"1015","BISERICA ADORMIREA MAICII DOMNULUI BUDENI","COMANA","GIURGIU"
"1016","MANASTIREA BUNA VESTIRE","BOLINTIN VALE","GIURGIU"
"1017","CRUCEA DE PIATRA MIHAI VITEAZU","CRUCEA DE PIATRA","GIURGIU"
"1018","BISERICA SF. ILIE CRUCEA DE PIATRA","CRUCEA DE PIATRA","GIURGIU"
"1019","BISERICA SF PARASCHEVA DARASTI","DARASTI","GIURGIU"
"1020","BISERICA DOBRENI","DOBRENI","GIURGIU"
"1021","MONUMENTUL EROILOR DOBRENI","DOBRENI","GIURGIU"
"1022","Muzeul Satesc din Fratesti","FRATESTI","GIURGIU"
"1023","Biserica Sf. Ecaterina din Fratesti","FRATESTI","GIURGIU"
"1024","Biserica Adormirii Maicii Domnului Gaujani","GAUJANI","GIURGIU"
"1025","Biserica Adventista Gaujani","GAUJANI","GIURGIU"
"1026","Cetatea Giurgiu","GIURGIU","GIURGIU"
"1027","BISERICA SF GHEORGHE GIURGIU","GIURGIU","GIURGIU"
"1028","STATUIA TRIUMF GIURGIU","GIURGIU","GIURGIU"
"1029","PRIMARIA GIURGIU","GIURGIU","GIURGIU"
"1030","STATUIA LUI VLAD TEPES GIURGIU","GIURGIU","GIURGIU"
"1031","CONSILIUL JUDETEAN GIURGIU","GIURGIU","GIURGIU"
"1032","TURNUL CEASORNICULUI GIURGIU","GIURGIU","GIURGIU"
"1033","BISERICA ADORMIRII MAICII DOMNULUI GIURGIU","GIURGIU","GIURGIU"
"1034","STATUIA LUI NICOLAE IORGA GIURGIU","GIURGIU","GIURGIU"
"1035","LICEUL ION MAJORESCU GIURGIU","GIURGIU","GIURGIU"
"1036","BISERICA MIHAIL SI GAVRIIL GIURGIU","GIURGIU","GIURGIU"
"1037","MAUSOLEUL EROILOR GIURGIU","GIURGIU","GIURGIU"
"1038","STATUIA LUI MIHAI VITEAZU GIURGIU","GIURGIU","GIURGIU"
"1039","TEATRUL T. VIANU GIURGIU","GIURGIU","GIURGIU"
"1040","MONUMENTUL EROILOR REVOLUTIEI 89 GIURGIU","GIURGIU","GIURGIU"
"1041","EPISCOPIA GIURGIU","GIURGIU","GIURGIU"
"1042","ATENEUL NICOLAE BALANESCU GIURGIU","GIURGIU","GIURGIU"
"1043","BISERICA ROMANO-CATOLICA GIURGIU","GIURGIU","GIURGIU"
"1044","CENTRUL CULTURAL ION VINEA","GIURGIU","GIURGIU"
"1045","MUZEUL TEOHARI ANTONESCU","GIURGIU","GIURGIU"
"1046","PARCUL ALEI GIURGIU","GIURGIU","GIURGIU"
"1047","STATUIA LUI MIHAI EMINESCU","GIURGIU","GIURGIU"
"1048","MUZEUL POLITIEI DE FRONTIERA GIURGIU","GIURGIU","GIURGIU"
"1049","CASA DR. A. VIANU","GIURGIU","GIURGIU"
"1050","SCHITU BARBU BELU GOSTINARI","GOSTINARI","GIURGIU"
"1051","BISERICA SF. VOIEVOZI MIHAIL SI GAVRIIL HERASTI","HERASTI","GIURGIU"
"1052","ANSAMBLUL ARHITECTURAL UDRISTE-NASTUREL HERASTI","HERASTI","GIURGIU"
"1053","MANASTIREA HULUBESTI","HULUBESTI","GIURGIU"
"1054","Biserica Ioan Botezatorul Malu","MALU","GIURGIU"
"1055","Monumentul Eroilor","MALU","GIURGIU"
"1056","CONACUL LUI CALINESCU MIHAILESTI","MIHAILESTI","GIURGIU"
"1057","BISERICA TUFA COSTINENI MIHAILESTI","MIHAILESTI","GIURGIU"
"1058","BISERICA SF NICOLAE MIRONESTI","MIRONESTI","GIURGIU"
"1059","RUINELE CONACULUI RADU SERBAN MIRONESTI","MIRONESTI","GIURGIU"
"1060","BISERICA OBEDENI","OBEDENI","GIURGIU"
"1061","MANASTIREA IOAN RUSU SLOBOZIA","SLOBOZIA","GIURGIU"
"1062","BAZA HIPICA REGATUL CAILOR VARLAAM","VARLAAM","GIURGIU"
"1063","BISERICA SF PANTELIMON VEDEA","VEDEA","GIURGIU"
"1064","PRIMARIA VEDEA","VEDEA","GIURGIU"
"1065","MONUMENTUL EROILOR VEDEA","VEDEA","GIURGIU"
"1066","STATUIA APOLLO","GIURGIU","GIURGIU"
